painter_name,summary,embeddings
Albrecht Dürer,"Albrecht Dürer (; German: [ˈʔalbʁɛçt ˈdyːʁɐ]; 21 May 1471 – 6 April 1528), sometimes spelled in English as Durer, was a German painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, Dürer established his reputation and influence across Europe in his twenties due to his high-quality woodcut prints. He was in contact with the major Italian artists of his time, including Raphael, Giovanni Bellini, and Leonardo da Vinci, and from 1512 was patronized by Emperor Maximilian I.
Dürer's vast body of work includes engravings, his preferred technique in his later prints, altarpieces, portraits and self-portraits, watercolours and books. The woodcuts series are stylistically more Gothic than the rest of his work, but revolutionised the potential of that medium, while his extraordinary handling of the burin expanded especially the tonal range of his engravings; well-known engravings include the three Meisterstiche (master prints) Knight, Death and the Devil (1513), Saint Jerome in his Study (1514), and Melencolia I (1514). His watercolours mark him as one of the first European landscape artists, and with his confident self-portraits he pioneered them as well as autonomous subjects of art.
Dürer's introduction of classical motifs  and of the nude into Northern art, through his knowledge of Italian artists and German humanists, has secured his reputation as one of the most important figures of the Northern Renaissance. This is reinforced by his theoretical treatises, which involve principles of mathematics for linear perspective and body proportions.","[-0.056997984647750854, 0.024535052478313446, -0.028721868991851807, -0.01904863677918911, -0.11073838919401169, 0.0005735886516049504, -0.0060517010278999805, 0.029114415869116783, -0.04175044596195221, -0.0704880803823471, -0.06325767934322357, -0.05813759192824364, 0.034210652112960815, 0.003068186342716217, -0.05627986788749695, 0.017469430342316628, -0.07675547897815704, 0.13781321048736572, 0.03952420502901077, 0.0033770480658859015, -0.012076033279299736, -0.021143490448594093, -0.007931699976325035, -0.0726630911231041, 0.06645537167787552, 0.032016366720199585, 0.005421624518930912, -0.04338903725147247, 0.04118366912007332, -0.03329330310225487, -0.025629643350839615, -0.04081327095627785, -0.11262821406126022, -0.055249352008104324, -0.010360689833760262, -0.037117596715688705, -0.00034338171826675534, 0.028041809797286987, 0.034498028457164764, 0.03869781643152237, -0.02931385301053524, 0.08185692131519318, -0.11076581478118896, 0.09708354622125626, -0.017796499654650688, -0.03116941638290882, -0.10718217492103577, 0.10844039171934128, -0.0505506731569767, 0.027168594300746918, -0.036999743431806564, -0.015916947275400162, 0.04169700667262077, -0.03501198813319206, 0.00965159386396408, -0.06295476108789444, 0.03423271328210831, -0.0027990909293293953, 0.010614180006086826, 0.06448718160390854, -0.09621308743953705, 0.05744026228785515, -0.008812572807073593, -0.032083623111248016, -0.0019311333307996392, 0.003453796496614814, -0.05110722407698631, 0.008823510259389877, -0.08707337826490402, 0.0341881699860096, 0.02514798194169998, -0.08724629878997803, -0.014568242244422436, -0.0607944056391716, 0.04357079789042473, -0.10765022784471512, -0.024394124746322632, 0.03603474423289299, -0.08754460513591766, -0.11263374239206314, 0.018621692433953285, 0.03503279387950897, 0.029716908931732178, 0.10129284858703613, 0.0023512679617851973, -0.015979984775185585, 0.0217065941542387, -0.047490134835243225, 0.03876543045043945, 0.006413678638637066, 0.09958354383707047, -0.020405979827046394, -0.09785638004541397, 0.038467343896627426, 0.07087848335504532, 0.0493369959294796, 0.00931207649409771, 0.10550045967102051, 0.04411434754729271, 0.027422968298196793, -0.00561372097581625, -0.0330875888466835, 0.06372301280498505, 0.039747610688209534, 0.022568633779883385, -0.013994931243360043, 0.04280613735318184, 0.014248018153011799, -0.021386098116636276, -0.06433584541082382, 0.02855594828724861, -0.01737043261528015, -0.04338227957487106, -0.024159885942935944, 0.051521070301532745, 0.0036977578420192003, -0.015605914406478405, -0.04061272367835045, 0.0011641824385151267, 0.004221811890602112, 0.017330598086118698, 0.04850703477859497, -0.05663841590285301, 0.055383455008268356, -0.038166821002960205, -0.0038742939941585064, 0.00805436447262764, 9.228350644244836e-34, 0.02477588877081871, 0.025326989591121674, -0.01294870488345623, 0.052981942892074585, -0.0349222831428051, 0.02502983808517456, -0.017945775762200356, 0.06866425275802612, -0.0045987884514033794, -0.0968303382396698, -0.0047602872364223, -0.03343050926923752, -0.0745307058095932, 0.1222171038389206, -0.07432068139314651, -0.007941095158457756, 0.10965144634246826, -0.006032976787537336, -0.023275701329112053, -0.04472396895289421, 0.011093750596046448, -0.021238574758172035, 0.02115950547158718, 0.06487519294023514, 0.020646097138524055, 0.11255152523517609, 0.04289497435092926, -0.01201853808015585, 0.005817086435854435, 0.012802738696336746, -0.016922812908887863, -0.003352135419845581, 0.00024903143639676273, -0.05313708260655403, -0.03692314401268959, 0.06359857320785522, -0.016552966088056564, -0.05415436252951622, -0.012560884468257427, 0.08195630460977554, 0.050680972635746, 0.007824178785085678, 0.005411801394075155, -0.024721309542655945, 0.01353512890636921, -0.008289502002298832, -0.009962690994143486, 0.05066562816500664, -0.0619896799325943, 0.06597110629081726, -0.07181911170482635, 0.06175617501139641, 0.014997672289609909, 0.05049189180135727, -0.009322471916675568, 0.018338944762945175, -0.01821328140795231, -0.020651336759328842, 0.0052096052095294, -0.03821681812405586, -0.02670702338218689, 0.10859085619449615, -0.049736279994249344, 0.12299491465091705, -0.0332041010260582, 0.04316481202840805, -0.016244567930698395, 0.07397766411304474, 0.030032159760594368, -0.030606888234615326, -0.1125393956899643, 0.05005762353539467, -0.042827058583498, -0.09725845605134964, 0.015310471877455711, 0.04263226315379143, -0.029691379517316818, 0.005810505244880915, -0.06192105636000633, -0.0544922836124897, -0.09821614623069763, 0.039367541670799255, -0.0023369386326521635, -0.07026009261608124, -0.042939409613609314, 0.02642582729458809, 0.007492512464523315, 0.01767350360751152, 0.002057331847026944, 0.037917058914899826, 0.003253965638577938, -0.017803855240345, 0.061561230570077896, -0.025426438078284264, -0.10420496016740799, -3.304369721459145e-33, -0.06093435361981392, -0.07894763350486755, 0.09399402886629105, 0.07240019738674164, -0.00611845962703228, -0.055536121129989624, -0.1572379171848297, 0.07058924436569214, -0.004620949272066355, -0.02715037390589714, 0.016277601942420006, 0.03443256393074989, -0.034664005041122437, -0.023547707125544548, -0.0464833527803421, -0.010634873062372208, 0.005800680257380009, 0.08824988454580307, -0.07126915454864502, -0.02698848582804203, 0.054127126932144165, 0.03827240690588951, -0.0016183671541512012, -0.024386636912822723, -0.09161218255758286, 0.04754868894815445, 0.09474930912256241, -0.11343009769916534, 0.02374868467450142, 0.06946704536676407, 0.04494989290833473, -0.012643411755561829, 0.022779161110520363, -0.016988959163427353, 0.07982577383518219, 0.06091265380382538, 0.024263370782136917, 0.07005784660577774, -0.014687138609588146, 0.08444726467132568, -0.02480347454547882, 0.019720716401934624, 0.02707982249557972, -0.0058183385990560055, 0.03398223593831062, -0.002647315850481391, -0.030848558992147446, 0.006293429061770439, 0.04109342768788338, 0.053819987922906876, 0.03679988160729408, -0.035858530551195145, 0.05124766379594803, -0.010196751914918423, -0.09185048192739487, -0.09146849066019058, 0.027079807594418526, -0.06329312175512314, 0.013799531385302544, 0.08420386910438538, 0.02070717141032219, 0.032975900918245316, -0.01514932420104742, 0.017794881016016006, -0.00037325709126889706, -0.05267693102359772, -0.0724523514509201, 0.09080344438552856, -0.003574664006009698, -0.05603288486599922, -0.024396877735853195, -0.004912196658551693, 0.020555932074785233, 0.04345877468585968, -0.05629726126790047, -0.012956961058080196, 0.061824504286050797, 0.011222018860280514, 0.008365241810679436, 0.009407076984643936, -0.019835125654935837, -0.022271884605288506, -0.04188479110598564, -0.00306298048235476, -0.020204152911901474, -0.008901937864720821, -0.07213307917118073, -0.03814438357949257, -0.016947118565440178, -0.022415462881326675, 0.016002962365746498, 0.034445397555828094, 0.046423811465501785, 0.0024175490252673626, 0.022256463766098022, -4.864137537197166e-08, -0.0350385345518589, 0.03264784812927246, 0.020617114380002022, 0.01452967245131731, 0.002838032552972436, -0.12006860971450806, -0.012728710658848286, -0.029329849407076836, -0.03663221746683121, 0.004413284361362457, -0.010509769432246685, 0.004459456540644169, -0.025286206975579262, -0.08437526971101761, 0.09718197584152222, -0.05515898019075394, 0.10233279317617416, -0.1121864765882492, -0.008211132138967514, 0.02791793830692768, 0.0782991275191307, -0.0473552905023098, 0.08636443316936493, -0.057388368993997574, -0.04488344117999077, -0.0711517333984375, -0.03053789958357811, -0.028463054448366165, -0.03952038288116455, 0.014533071778714657, 0.012931134551763535, 0.11362621933221817, 0.054963067173957825, -0.0011124045122414827, 0.03869070112705231, -0.01254271436482668, 0.0006119178724475205, -0.04364551231265068, -0.03396215662360191, 0.054329778999090195, 0.05621744692325592, -0.05339251831173897, 0.05485339090228081, -0.00031524107907898724, 0.022662868723273277, -0.0814376100897789, 0.0884183719754219, -0.04089570418000221, 0.03791703283786774, 0.03440605476498604, -0.04956920072436333, 0.039896607398986816, 0.13681569695472717, 0.03824485465884209, -0.02007092721760273, -0.013187427073717117, 0.027063816785812378, 0.03569469600915909, 0.018330218270421028, 0.03153204545378685, 0.060634106397628784, -0.03809167444705963, 0.03970996290445328, 0.044078122824430466]"
Andy Warhol,"Andy Warhol (; born Andrew Warhola Jr.; August 6, 1928 – February 22, 1987) was an American visual artist, film director and producer. A leading figure in the pop art movement, Warhol is considered one of the most important American artists of the second half of the 20th century. His works explore the relationship between artistic expression, advertising, and celebrity culture that flourished by the 1960s, and span a variety of media, including painting, silkscreening, photography, film, and sculpture. Some of his best-known works include the silkscreen paintings Campbell's Soup Cans (1962) and Marilyn Diptych (1962), the experimental films Empire (1964) and Chelsea Girls (1966), and the multimedia events known as the Exploding Plastic Inevitable (1966–67).
Born and raised in Pittsburgh, Warhol initially pursued a successful career as a commercial illustrator in the 1950s. After exhibiting his work in art galleries, he began to receive recognition as an influential and controversial artist in the 1960s. His New York studio, The Factory, became a well-known gathering place that brought together distinguished intellectuals, drag queens, playwrights, Bohemian street people, Hollywood celebrities and wealthy patrons. He directed and produced several underground films starring a collection of personalities known as Warhol superstars, and is credited with inspiring the widely used expression ""15 minutes of fame."" Warhol managed and produced the experimental rock band the Velvet Underground. He also founded Interview and authored numerous books, including The Philosophy of Andy Warhol and Popism: The Warhol Sixties.
In June 1968, Warhol was almost killed by radical feminist Valerie Solanas, who shot him inside his studio. After gallbladder surgery, Warhol died of cardiac arrhythmia in February 1987 at the age of 58 in New York.
Warhol has been the subject of numerous retrospective exhibitions, books, and feature and documentary films. The Andy Warhol Museum in his native city of Pittsburgh, which holds an extensive permanent collection of art and archives, is the largest museum in the United States dedicated to a single artist. Warhol has been described as the ""bellwether of the art market"". Many of his creations are very collectible and highly valuable. His works include some of the most expensive paintings ever sold. In 2013, a 1963 serigraph titled Silver Car Crash (Double Disaster) sold for $105 million. In 2022, Shot Sage Blue Marilyn (1964) sold for $195 million, which is the most expensive work of art sold at auction by an American artist.","[0.002570941811427474, -0.08942727744579315, 0.00892707984894514, -0.048526741564273834, 0.025427674874663353, 0.049902431666851044, 0.06862311065196991, -0.047952800989151, -0.054893262684345245, -0.10120319575071335, 0.021730368956923485, 0.024993546307086945, 0.06018994003534317, 0.052531588822603226, 0.011999260634183884, 0.10487169772386551, 0.010842325165867805, -0.015746474266052246, 0.011120621114969254, 0.03582213073968887, 0.007813775911927223, -0.0970294401049614, 0.038506634533405304, -0.03463440015912056, 0.026631377637386322, 0.06874414533376694, 0.00930069200694561, 0.04781121015548706, 0.03537796065211296, 0.058924734592437744, 0.03805769979953766, 0.047978270798921585, -0.08865310996770859, -0.05892220512032509, 0.06583944708108902, 0.02845374308526516, 0.03662019968032837, 0.06726738065481186, -0.052581071853637695, -0.05510145425796509, -0.08927762508392334, -0.06986172497272491, -0.06272690743207932, -0.010423886589705944, 0.022966763004660606, -0.03814934939146042, 0.017023591324687004, -0.004605795256793499, 0.015072139911353588, 0.012429269030690193, -0.05852939933538437, -0.041761044412851334, 0.007051293272525072, -0.07687786221504211, 0.06694298982620239, -0.10297040641307831, 0.050908371806144714, 0.016749411821365356, 0.011758013628423214, 0.015589572489261627, -0.07750186324119568, -0.014256957918405533, 0.021167615428566933, 0.028808778151869774, 0.08064297586679459, 0.08519852161407471, -0.035084813833236694, 0.05580618232488632, -0.02214273065328598, -0.04204796999692917, -0.026654770597815514, -0.005803123116493225, -0.02741495706140995, -0.016385521739721298, -0.03647615388035774, -0.03967256471514702, -0.057275522500276566, -0.021677646785974503, -0.06542690098285675, 0.04416808858513832, 0.10425844043493271, -0.03244027867913246, -0.0323093943297863, -0.0019079117337241769, -0.050274115055799484, -0.014685905538499355, -0.024545304477214813, -0.02335176058113575, -0.01571701280772686, 0.08612805604934692, -0.07540436834096909, 0.006352281663566828, -0.05772680789232254, 0.030848322436213493, 0.10781358182430267, -0.06320486217737198, 0.005188398063182831, -0.06905631721019745, 0.06430982053279877, 0.019816255196928978, -0.01699262112379074, -0.03958030417561531, 0.007624403107911348, -0.0814337208867073, 0.07221174240112305, -0.06443171203136444, 0.005500263534486294, 0.039405014365911484, -0.0494806170463562, 0.05499105527997017, -0.05736394226551056, 0.0389254167675972, 0.035339806228876114, 0.03990248590707779, 0.008467643521726131, -0.1023026630282402, -0.004666716791689396, -0.03171665966510773, -0.07695312798023224, -0.05618922784924507, -0.015926355496048927, 0.07013942301273346, -0.027710042893886566, -0.009864413179457188, -0.025709260255098343, -0.06408270448446274, -0.011534551158547401, -2.586073245471632e-33, 0.020722445100545883, 0.01359840203076601, 0.06385954469442368, 0.14330020546913147, 0.046234481036663055, 0.03519187122583389, 0.08030552417039871, 0.03052699565887451, 0.052081428468227386, -0.02168554626405239, 0.07287554442882538, -0.07295559346675873, -0.0645492821931839, 0.019550208002328873, 0.0749419629573822, 0.003939677029848099, 0.0019534926395863295, 0.0028028255328536034, 0.056983496993780136, 0.00928979367017746, -0.11666832864284515, -0.010132819414138794, 0.010468102991580963, -0.015945270657539368, -0.10894270986318588, 0.08439622074365616, -0.05292964726686478, 0.00666512455791235, 0.03829570487141609, 0.03391661122441292, -0.020417578518390656, 0.046369556337594986, -0.026912938803434372, 0.026940520852804184, -0.01224463526159525, -0.031918399035930634, -0.09124083071947098, -0.06490536779165268, 0.017810937017202377, 0.03340691328048706, -0.010684188455343246, 0.04968220368027687, 0.016896847635507584, 0.004043468274176121, -0.07612253725528717, 0.1095302626490593, -0.0011901062680408359, 0.05326264351606369, -0.05401470139622688, 0.03391347452998161, 0.004062008112668991, 0.08186692744493484, -0.02890053577721119, -0.027066363021731377, -0.021198322996497154, 0.012022292241454124, -0.02265183813869953, -0.05778588354587555, -0.005995423067361116, -0.03126794472336769, -0.024864690378308296, 0.17639052867889404, 0.015080079436302185, 0.03071289323270321, -0.029528958722949028, 0.0800023302435875, 0.03880326449871063, -0.01745087094604969, -0.08490998297929764, 0.07168261706829071, -0.029705384746193886, 0.011033231392502785, -0.002296572318300605, -0.059263814240694046, 0.005802539177238941, 0.01044876966625452, 0.031116947531700134, -0.03413112461566925, -0.02229454182088375, -0.034931477159261703, 0.032475125044584274, 0.02001701481640339, 0.040545955300331116, -0.0630006343126297, -0.09326482564210892, -0.02965901419520378, 0.008278295397758484, 0.03525128960609436, -0.01091205794364214, 0.0019933260045945644, -0.0020444493275135756, -0.10369638353586197, 0.016382217407226562, -0.0062683518044650555, -0.0777178630232811, -4.3069194659167034e-34, 0.022739043459296227, -0.043577663600444794, 0.06683299690485, -0.06580927222967148, 0.08453434705734253, -0.04626971855759621, -0.04119299352169037, 0.0390755720436573, 0.07738639414310455, 0.018435053527355194, 0.0233460646122694, 0.008193964138627052, -0.06976096332073212, 0.003695650491863489, -0.0791219174861908, -0.006736285984516144, 0.02539263479411602, -0.04622480645775795, -0.03305405005812645, -0.05191221088171005, 0.0238999892026186, 0.035742174834012985, 0.03455658629536629, -0.001219091471284628, -0.04984011501073837, 0.0794331505894661, 0.06518318504095078, 0.02079528011381626, 0.07056673616170883, 0.03835907205939293, 0.07417673617601395, 0.0023524730931967497, 0.00811965111643076, -0.010429269634187222, 0.0246259905397892, -0.014826293103396893, 0.031786803156137466, -0.09966473281383514, 0.02409580536186695, -0.025818077847361565, -0.01712634414434433, 0.0039364732801914215, -0.07655711472034454, 0.042407311499118805, 0.008937602862715721, -0.04632453992962837, -0.14622144401073456, -0.06446085125207901, 0.05170132964849472, -0.021798500791192055, -0.031165415421128273, 0.07555586099624634, 0.009618636220693588, -0.006600617431104183, 0.006752568297088146, -0.028921011835336685, 0.0300361979752779, -0.05627474933862686, 0.05515863746404648, 0.057866256684064865, -0.05032513663172722, 0.02237093076109886, -0.0651002824306488, -0.07662518322467804, -0.048863936215639114, -0.03937613591551781, 0.007056749425828457, -0.04582509770989418, -0.03823741525411606, -0.067669577896595, 0.08105642348527908, 0.08945075422525406, 0.043514933437108994, 0.005222443491220474, -0.06356056779623032, -0.01309998705983162, 0.030451973900198936, 0.007806653156876564, 0.01924782060086727, -0.05403389781713486, -0.03527730330824852, 0.05418001115322113, 0.04443737119436264, 0.05790284276008606, -0.010481273755431175, 0.04297872632741928, -0.049203433096408844, -0.012592426501214504, -0.04136957973241806, -0.03678438812494278, 0.11203666776418686, -0.018047643825411797, -0.009017035365104675, 0.08547463268041611, 0.04763488844037056, -5.3543939060318735e-08, -0.09955774992704391, -0.05223900079727173, 0.0729498416185379, -0.08215309679508209, -0.0014133747899904847, 0.06495843082666397, -0.018948180601000786, 0.004381924867630005, 0.10028381645679474, -0.04659358412027359, 0.021770672872662544, 0.02432938851416111, 0.023595938459038734, 0.06246335431933403, -0.051024001091718674, -0.09371710568666458, 0.019534721970558167, -0.02218850515782833, -0.022856267169117928, -0.00706710247322917, 0.04483284801244736, -0.0575210377573967, 0.08805156499147415, -0.03601235896348953, -0.0061839260160923, -0.054329004138708115, 0.012102137319743633, -0.06240132823586464, -0.05846773460507393, 0.03901895508170128, -0.09962534159421921, 0.035931073129177094, -0.02814396284520626, 0.02276746556162834, -0.019988907501101494, -0.04763861745595932, 0.020582599565386772, -0.061230454593896866, -0.134197399020195, 0.007225456647574902, 0.002204370219260454, -0.0005339386407285929, 0.027224432677030563, 0.00290870969183743, 0.11844773590564728, 0.02496860735118389, 0.06957831233739853, 0.03890499845147133, -0.0027519571594893932, 0.11204173415899277, 0.03298984095454216, 0.05760778486728668, 0.031368739902973175, 0.0048490604385733604, -0.004080565180629492, -0.027880173176527023, -0.06168195977807045, 0.06089363247156143, 0.019936420023441315, 0.026729315519332886, 0.003958816174417734, -0.0028671801555901766, 0.044767774641513824, 0.04145931825041771]"
Hokusai,"Katsushika Hokusai (葛飾 北斎, c. 31 October 1760 – 10 May 1849), known simply as Hokusai, was a Japanese ukiyo-e artist of the Edo period, active as a painter and printmaker. He is best known for the woodblock print series Thirty-Six Views of Mount Fuji, which includes the iconic print The Great Wave off Kanagawa. Hokusai was instrumental in developing ukiyo-e from a style of portraiture largely focused on courtesans and actors into a much broader style of art that focused on landscapes, plants, and animals. His works are thought to have had a significant influence on Vincent van Gogh and Claude Monet during the wave of Japonisme that spread across Europe in the late 19th century.
Hokusai created the monumental Thirty-Six Views of Mount Fuji as a response to a domestic travel boom in Japan and as part of a personal interest in Mount Fuji. It was this series, specifically, The Great Wave off Kanagawa and Fine Wind, Clear Morning, that secured his fame both in Japan and overseas.
Hokusai was best known for his woodblock ukiyo-e prints, but he worked in a variety of mediums including painting and book illustration. Starting as a young child, he continued working and improving his style until his death, aged 88. In a long and successful career, Hokusai produced over 30,000 paintings, sketches, woodblock prints, and images for picture books in total. Innovative in his compositions and exceptional in his drawing technique, Hokusai is considered one of the greatest masters in the history of art.","[-0.0241488479077816, 0.04442295432090759, -0.020806308835744858, -0.02383313700556755, 0.0015552167315036058, -0.02430412359535694, 0.025231460109353065, 0.06323264539241791, -0.11759544163942337, -0.04369344189763069, 0.03399929776787758, -0.015651367604732513, -0.011302074417471886, 0.039624422788619995, 0.038396917283535004, 0.027236394584178925, -0.022301770746707916, 0.049046631902456284, 0.039558205753564835, 0.03646944463253021, -0.004337134771049023, -0.05461565777659416, 0.010824997909367085, -0.04092102497816086, 0.09976863116025925, 0.05333317816257477, 0.03977010026574135, -0.03024083375930786, 0.0060578095726668835, 0.021975252777338028, -0.03417384251952171, 0.03009214624762535, 0.029577376320958138, -0.024447984993457794, 0.02737882174551487, 0.06860385090112686, -0.014905380085110664, 0.024139825254678726, -0.02474754862487316, -0.05692018195986748, -0.022450849413871765, 0.047111812978982925, 0.00411050021648407, -0.03847608342766762, 0.08610060065984726, -0.004732266068458557, -0.07202297449111938, -0.024133749306201935, -0.0018462187144905329, -0.031058453023433685, -0.07376474142074585, -0.041880134493112564, -0.003539123572409153, -0.08015275746583939, 0.019957538694143295, -0.0720728188753128, 0.03351248800754547, -0.03798972815275192, 0.08623229712247849, 0.010902510955929756, -0.07155901938676834, -0.0030017660465091467, 0.044535525143146515, -0.009290442802011967, 0.028362127020955086, -0.019083118066191673, -0.10516493767499924, 0.000391087174648419, 0.010650932788848877, 0.030078189447522163, 0.05499793589115143, 0.014720672741532326, 0.028832683339715004, -0.052185624837875366, -0.05483558773994446, -0.03497757017612457, -0.07542784512042999, -0.020205840468406677, -0.10657966136932373, -0.07044609636068344, 0.06665483117103577, 0.029030952602624893, -0.010473957285284996, 0.04850141331553459, -0.03977944329380989, 0.06438718736171722, 0.024916259571909904, -0.056426700204610825, -4.2096999095520005e-05, 0.09368260204792023, 0.06637252122163773, 0.024838561192154884, -0.047192998230457306, 0.009199736639857292, -0.012643443420529366, -0.09904655814170837, 0.017393924295902252, 0.05176975578069687, -0.012557891197502613, 0.015144784934818745, 0.07814598828554153, -0.033704593777656555, 0.016235100105404854, -0.0023602221626788378, -0.02717648260295391, -0.10076457262039185, 0.048170797526836395, 0.018780265003442764, -0.07575436681509018, 0.010768214240670204, -0.02195367030799389, -0.005235022399574518, -0.03637603670358658, -0.06936672329902649, 0.0003434290993027389, -0.04258287698030472, 0.019709330052137375, 0.029268648475408554, -0.04319316893815994, -0.008007786236703396, 0.09012910723686218, 0.02940480411052704, 0.05776224657893181, 0.024519622325897217, -0.024448169395327568, -0.021142786368727684, -0.0022818627767264843, 2.321257878118387e-33, 0.08557112514972687, 0.04292813315987587, 0.008025228045880795, -0.010184097103774548, 0.07799667119979858, -0.04462478682398796, -0.053393445909023285, 1.753234028001316e-05, 0.01335697527974844, -0.029604891315102577, -0.05844304710626602, 0.06714677810668945, -0.010150336660444736, 0.04964189976453781, -0.0031117007602006197, 0.0299236960709095, 0.03806854039430618, 0.003393627004697919, 0.006785919889807701, 0.07785818725824356, 0.04311899095773697, -0.057809725403785706, -0.0008679140591993928, -0.04528646543622017, -0.110359326004982, 0.04812927544116974, 0.0141898887231946, -0.04259127750992775, -0.08492832630872726, 0.07537149637937546, -0.02281678281724453, -0.0143259447067976, 0.02059459313750267, -0.03976600244641304, -0.02829205058515072, -0.02851039730012417, -0.025088414549827576, -0.08422083407640457, -0.014620214700698853, 0.002181486925110221, -0.008026670664548874, 0.002324181143194437, 0.0017093783244490623, 0.02248423360288143, 0.026745233684778214, 0.033103469759225845, 0.05629400908946991, 0.1083705797791481, -0.038406264036893845, 0.0762874186038971, -0.028170878067612648, -0.04333950951695442, -0.054258543998003006, 0.035879459232091904, -0.032118018716573715, 0.02218468114733696, 0.06891525536775589, -0.09445417672395706, 0.028077350929379463, 0.006109497509896755, 0.006078648846596479, 0.09159145504236221, 0.004283938091248274, 0.02039639838039875, -0.06675224751234055, 0.05025700479745865, 0.05204012617468834, -0.0579715296626091, -0.13832029700279236, -0.007562543265521526, -0.029583007097244263, -0.06936582922935486, 0.010625570081174374, -0.05581034719944, -0.041233040392398834, -0.032783061265945435, -0.06497573107481003, 0.020142409950494766, -0.11235947161912918, 0.08510192483663559, -0.09625869989395142, 0.05068810284137726, -0.0074098967015743256, -0.04687017574906349, 0.023826278746128082, 0.09626168012619019, 0.04935222864151001, 0.025835376232862473, -0.0009913488756865263, 0.044043347239494324, -0.04045538976788521, -0.04795060679316521, 0.09484023600816727, -0.08700773119926453, -0.07736261934041977, -2.8405077120101698e-33, -0.010074231773614883, -0.019870413467288017, -0.000802394060883671, -0.011085095815360546, 0.013048560358583927, -0.032459281384944916, -0.056983623653650284, 0.04221595078706741, -0.016733814030885696, -0.02854880504310131, 0.03637747839093208, -0.036090027540922165, 0.0035961936227977276, 0.008858182467520237, -0.03577204421162605, -0.03471124544739723, 0.03824722394347191, 0.07441093772649765, -0.06170574948191643, -0.057012010365724564, 0.06053414195775986, -0.09714996814727783, 0.023552997037768364, -0.002200755290687084, 0.027269752696156502, 0.12723080813884735, 0.07286025583744049, -0.06148886680603027, -0.02512553334236145, 0.09312565624713898, -0.12328915297985077, 0.0006249301950447261, 0.03209494426846504, 0.03746573254466057, 0.03343086689710617, 0.08091137558221817, 0.010188334621489048, -0.0546194463968277, 0.008699687197804451, 0.025981226935982704, -0.06802111864089966, 0.025229070335626602, 0.07219885289669037, 0.01090348232537508, -0.08493088185787201, -0.03516821935772896, -0.02213563397526741, 0.1708378791809082, 0.010304744355380535, 0.0067396704107522964, 0.044674310833215714, 0.033277347683906555, 0.03972632810473442, -0.004197221715003252, -0.05862652137875557, 0.009129413403570652, -0.0007569411536678672, -0.029411034658551216, -0.047991327941417694, 0.01072983630001545, 0.016913574188947678, -0.09503711014986038, -0.0003127009840682149, 0.028312237933278084, -0.017718153074383736, 0.020554784685373306, 0.08632488548755646, -2.6954432541970164e-05, -0.036016419529914856, -0.09876527637243271, -0.053865060210227966, -0.0017286593792960048, 0.06018175184726715, 0.04911452904343605, -0.016605667769908905, -0.002745686797425151, -0.00671560550108552, 0.08686026930809021, 0.09977300465106964, -0.006404998246580362, -0.05253107473254204, 0.05900966748595238, -0.04232106730341911, 0.01578340493142605, 0.05954189598560333, -0.008847225457429886, -0.10981833189725876, -0.06283139437437057, 7.799087325111032e-05, -0.017969932407140732, 0.06736264377832413, 0.09781051427125931, 0.006971259135752916, 0.0627535954117775, 0.041055791079998016, -4.5106926194193875e-08, -0.06126401573419571, -0.059626780450344086, 0.04653901606798172, -0.015123213641345501, 0.008687497116625309, -0.06536824256181717, -0.01011559646576643, -0.02038736082613468, 0.004974921699613333, -0.03369731083512306, 0.052057649940252304, 0.06569197028875351, -0.018270066007971764, -0.013497327454388142, 0.012386026792228222, -0.0704258382320404, 0.09844477474689484, 0.008239642716944218, -0.031376566737890244, 0.007195077836513519, 0.05645311251282692, -0.07102754712104797, 0.04279094934463501, -0.0957503467798233, -0.0617927648127079, 0.036333002150058746, -0.0004604730929713696, 0.000549022457562387, 0.00580002274364233, -0.06502684205770493, -0.008817869238555431, 0.03259142115712166, -0.06853841245174408, 0.002286793664097786, 0.07714459300041199, 0.0036857847589999437, -0.10390497744083405, -0.07447752356529236, -0.11703198403120041, 0.03215070813894272, -0.03932018578052521, 0.03670328110456467, 0.034208204597234726, 0.03279464319348335, 0.043934423476457596, 0.026250995695590973, 0.0515938438475132, 0.011294475756585598, -0.047599297016859055, 0.03631531074643135, -0.01961674354970455, 0.018749911338090897, 0.16428786516189575, 0.011623437516391277, -0.038255251944065094, -0.005667469929903746, 0.07355207949876785, -0.08999870717525482, 0.008346674032509327, 0.09128058701753616, 0.05724911019206047, -0.005420268978923559, -0.03442053869366646, 0.09603673219680786]"
