date,museum,daily_visitors
2018-11-24 01:00:00,The Georgian House Museum,99.0
2018-11-24 01:00:00,Blaise Castle House Museum,223.0
2018-11-24 01:00:00,The Red Lodge Museum,78.0
2018-11-24 01:00:00,M Shed,3338.0
2018-11-24 01:00:00,Bristol Museum,2138.0
2018-11-23 01:00:00,M Shed,969.0
2018-11-23 01:00:00,Bristol Museum,885.0
2018-11-23 01:00:00,Blaise Castle House Museum,26.0
2018-11-22 01:00:00,M Shed,1012.0
2018-11-22 01:00:00,Bristol Museum,867.0
2018-11-22 01:00:00,Blaise Castle House Museum,106.0
2018-11-21 01:00:00,M Shed,1065.0
2018-11-21 01:00:00,Bristol Museum,921.0
2018-11-20 01:00:00,The Georgian House Museum,43.0
2018-11-20 01:00:00,M Shed,1113.0
2018-11-20 01:00:00,Bristol Museum,822.0
2018-11-20 01:00:00,The Red Lodge Museum,53.0
2018-11-19 01:00:00,The Georgian House Museum,89.0
2018-11-19 01:00:00,The Red Lodge Museum,135.0
2018-11-19 00:00:00,Bristol Museum,0.0
2018-11-19 00:00:00,M Shed,0.0
2018-11-18 01:00:00,Blaise Castle House Museum,259.0
2018-11-18 01:00:00,The Georgian House Museum,57.0
2019-01-19 00:00:00,Bristol Museum,2463.0
2019-01-18 01:00:00,M Shed,1665.0
2019-01-18 00:00:00,Bristol Museum,841.0
2019-01-17 01:00:00,M Shed,949.0
2019-01-17 00:00:00,Bristol Museum,622.0
2019-01-16 00:00:00,Bristol Museum,670.0
2019-01-16 00:00:00,M Shed,968.0
2019-01-15 01:00:00,M Shed,905.0
2019-01-15 00:00:00,Bristol Museum,895.0
2019-01-14 00:00:00,Bristol Museum,0.0
2019-01-14 00:00:00,M Shed,0.0
2019-01-13 01:00:00,M Shed,3175.0
2019-01-13 01:00:00,Bristol Museum,1539.0
2019-01-12 01:00:00,M Shed,3417.0
2019-01-12 01:00:00,Bristol Museum,1832.0
2019-01-11 01:00:00,M Shed,901.0
2019-01-11 01:00:00,Bristol Museum,718.0
2019-01-10 01:00:00,M Shed,862.0
2019-01-10 01:00:00,Bristol Museum,635.0
2019-01-09 01:00:00,M Shed,1078.0
2019-01-09 01:00:00,Bristol Museum,693.0
2019-01-08 01:00:00,M Shed,1001.0
2019-01-08 01:00:00,Bristol Museum,602.0
2019-01-07 00:00:00,Bristol Museum,0.0
2019-01-07 00:00:00,M Shed,0.0
2019-01-06 01:00:00,M Shed,2584.0
2019-01-06 01:00:00,Bristol Museum,1947.0
2019-01-05 01:00:00,Bristol Museum,2534.0
2019-01-05 01:00:00,M Shed,2879.0
2019-01-04 01:00:00,Bristol Museum,1947.0
2019-01-04 01:00:00,M Shed,2177.0
2019-01-03 01:00:00,Bristol Museum,1757.0
2019-01-03 01:00:00,M Shed,2167.0
2019-01-02 01:00:00,Bristol Museum,1659.0
2019-01-02 01:00:00,M Shed,2574.0
2019-01-01 01:00:00,Bristol Museum,881.0
2019-01-01 00:00:00,M Shed,2736.0
2018-12-31 01:00:00,M Shed,2385.0
2018-12-31 01:00:00,Bristol Museum,1048.0
2018-12-31 00:00:00,Bristol Museum,1036.0
2018-12-31 00:00:00,M Shed,2374.0
2018-12-30 01:00:00,ROMAN-VILLA,5.0
2018-12-30 01:00:00,Blaise Castle House Museum,420.0
2018-12-30 01:00:00,The Georgian House Museum,101.0
2018-12-30 01:00:00,The Red Lodge Museum,83.0
2018-12-30 01:00:00,M Shed,3243.0
2018-12-30 00:00:00,Bristol Museum,1817.0
2018-12-29 01:00:00,The Georgian House Museum,120.0
2018-12-29 01:00:00,The Red Lodge Museum,117.0
2018-12-29 01:00:00,Blaise Castle House Museum,377.0
2018-11-18 01:00:00,The Red Lodge Museum,50.0
2018-11-18 01:00:00,M Shed,2775.0
2018-11-18 01:00:00,Bristol Museum,1344.0
2018-11-17 01:00:00,The Georgian House Museum,96.0
2018-11-17 01:00:00,The Red Lodge Museum,97.0
2018-11-17 01:00:00,M Shed,3557.0
2018-11-17 01:00:00,Blaise Castle House Museum,267.0
2018-11-17 01:00:00,Bristol Museum,2023.0
2018-11-16 01:00:00,Blaise Castle House Museum,126.0
2018-11-16 01:00:00,M Shed,1668.0
2018-11-16 01:00:00,Bristol Museum,792.0
2018-11-15 01:00:00,Blaise Castle House Museum,157.0
2018-11-15 01:00:00,M Shed,1412.0
2018-11-15 01:00:00,Bristol Museum,666.0
2018-11-14 01:00:00,M Shed,1275.0
2018-11-14 01:00:00,Bristol Museum,807.0
2018-11-14 01:00:00,The Red Lodge Museum,86.0
2018-11-13 01:00:00,The Georgian House Museum,41.0
2018-11-13 01:00:00,The Red Lodge Museum,101.0
2018-11-13 01:00:00,M Shed,2995.0
2018-11-13 01:00:00,Bristol Museum,693.0
2018-11-13 01:00:00,The Red Lodge Museum,52.0
2018-11-12 01:00:00,The Georgian House Museum,26.0
2018-11-12 01:00:00,The Red Lodge Museum,34.0
2018-11-12 00:00:00,Bristol Museum,0.0
